prompt_id,category,prompt,clip_score
obj_001,objects,a red bicycle,0.3190099000930786
obj_002,objects,a wooden chair,0.3018827736377716
obj_003,objects,a coffee mug,0.3089735209941864
obj_004,objects,a laptop computer,0.29675549268722534
obj_005,objects,a potted plant,0.2986597418785095
obj_006,objects,a table lamp,0.3248366117477417
obj_007,objects,a wristwatch,0.288635790348053
obj_008,objects,a backpack,0.29095637798309326
obj_009,objects,a guitar,0.3044455051422119
obj_010,objects,a camera,0.26305755972862244
obj_011,objects,a pair of scissors,0.3150842487812042
obj_012,objects,a pencil,0.3571658432483673
obj_013,objects,a book,0.24026405811309814
obj_014,objects,a water bottle,0.29132887721061707
obj_015,objects,a baseball cap,0.29780542850494385
obj_016,objects,a soccer ball,0.3025455176830292
obj_017,objects,a teddy bear,0.2726036310195923
obj_018,objects,an umbrella,0.29682421684265137
obj_019,objects,a suitcase,0.283180296421051
obj_020,objects,a telephone,0.2668702304363251
obj_021,objects,a frying pan,0.29529261589050293
obj_022,objects,a toaster,0.30369120836257935
obj_023,objects,a coffee maker,0.30242782831192017
obj_024,objects,a blender,0.32075798511505127
obj_025,objects,a cutting board,0.32337498664855957
obj_026,objects,a wine glass,0.3054625988006592
obj_027,objects,a ceramic plate,0.3241555690765381
obj_028,objects,a fork and knife,0.2869294285774231
obj_029,objects,a tea kettle,0.2992461323738098
obj_030,objects,a rolling pin,0.3522303104400635
obj_031,objects,a television,0.2769688665866852
obj_032,objects,a remote control,0.3167118728160858
obj_033,objects,a computer mouse,0.31821852922439575
obj_034,objects,a keyboard,0.27161306142807007
obj_035,objects,a smartphone,0.24884656071662903
obj_036,objects,a tablet,0.27905768156051636
obj_037,objects,headphones,0.2720968723297119
obj_038,objects,a speaker,0.2868526577949524
obj_039,objects,a video game controller,0.2942923307418823
obj_040,objects,a USB cable,0.3291800916194916
obj_041,objects,a sofa,0.2831532955169678
obj_042,objects,a bookshelf,0.3186968266963959
obj_043,objects,a desk,0.28610706329345703
obj_044,objects,a bed frame,0.28833848237991333
obj_045,objects,a coffee table,0.32053738832473755
obj_046,objects,a dining table,0.28121981024742126
obj_047,objects,a wardrobe,0.28920891880989075
obj_048,objects,a mirror,0.29315435886383057
obj_049,objects,a rug,0.31104886531829834
obj_050,objects,a curtain,0.2869410514831543
obj_051,objects,a bicycle helmet,0.3263791799545288
obj_052,objects,a tennis racket,0.30832359194755554
obj_053,objects,a skateboard,0.2946685254573822
obj_054,objects,a surfboard,0.31122851371765137
obj_055,objects,a camping tent,0.3175204396247864
obj_056,objects,a fishing rod,0.25894784927368164
obj_057,objects,a garden hose,0.34458011388778687
obj_058,objects,a wheelbarrow,0.3165334463119507
obj_059,objects,a lawn mower,0.2965656816959381
obj_060,objects,a bird feeder,0.3162957727909088
obj_061,objects,a leather belt,0.29114657640457153
obj_062,objects,a necktie,0.2959493398666382
obj_063,objects,a scarf,0.2809077501296997
obj_064,objects,a pair of sunglasses,0.30602699518203735
obj_065,objects,a handbag,0.2858867645263672
obj_066,objects,a wallet,0.29843729734420776
obj_067,objects,running shoes,0.2629448175430298
obj_068,objects,a winter jacket,0.31726157665252686
obj_069,objects,a wool sweater,0.3190329372882843
obj_070,objects,a pair of jeans,0.2978004217147827
obj_071,objects,a hammer,0.2662632465362549
obj_072,objects,a screwdriver,0.3137960433959961
obj_073,objects,a wrench,0.277030348777771
obj_074,objects,a drill,0.27744433283805847
obj_075,objects,a saw,0.296913743019104
obj_076,objects,a measuring tape,0.294792503118515
obj_077,objects,a flashlight,0.30447348952293396
obj_078,objects,a ladder,0.2993985712528229
obj_079,objects,a toolbox,0.3407785892486572
obj_080,objects,a paint brush,0.28375768661499023
obj_081,objects,a pinecone,0.3310397267341614
obj_082,objects,a seashell,0.31142860651016235
obj_083,objects,a flower bouquet,0.29597967863082886
obj_084,objects,a cactus,0.3422747850418091
obj_085,objects,a bonsai tree,0.3393869996070862
obj_086,objects,a sunflower,0.3145829439163208
obj_087,objects,a maple leaf,0.33242499828338623
obj_088,objects,a bird nest,0.2992662191390991
obj_089,objects,a butterfly,0.29214733839035034
obj_090,objects,a ladybug,0.31451350450515747
obj_091,objects,a loaf of bread,0.30779218673706055
obj_092,objects,a birthday cake,0.29116547107696533
obj_093,objects,a pizza slice,0.2842787802219391
obj_094,objects,a hamburger,0.26396870613098145
obj_095,objects,an ice cream cone,0.32030215859413147
obj_096,objects,a bowl of fruit,0.32141053676605225
obj_097,objects,a cheese wheel,0.2758287191390991
obj_098,objects,a chocolate bar,0.2978125810623169
obj_099,objects,a cup of coffee,0.27981358766555786
obj_100,objects,a glass of orange juice,0.3005618453025818
att_001,attributes,a shiny ceramic mug,0.3150002062320709
att_002,attributes,a rusty metal bicycle,0.33399587869644165
att_003,attributes,a fluffy white cat,0.3372020721435547
att_004,attributes,a transparent glass vase,0.3413568139076233
att_005,attributes,a smooth polished stone,0.18526847660541534
att_006,attributes,a rough wooden table,0.21126437187194824
att_007,attributes,a soft velvet cushion,0.2050294280052185
att_008,attributes,a wrinkled old newspaper,0.15955328941345215
att_009,attributes,a glossy red apple,0.17752017080783844
att_010,attributes,a matte black smartphone,0.19486618041992188
att_011,attributes,a colorful striped umbrella,0.1729443073272705
att_012,attributes,a golden metallic watch,0.16721299290657043
att_013,attributes,a silver necklace,0.19160674512386322
att_014,attributes,a blue denim jacket,0.18858657777309418
att_015,attributes,a green plaid shirt,0.1796136498451233
att_016,attributes,a purple polka dot dress,0.19857296347618103
att_017,attributes,a rainbow colored kite,0.17454394698143005
att_018,attributes,a black and white chess board,0.15972618758678436
att_019,attributes,a red checkered tablecloth,0.12584099173545837
att_020,attributes,a multicolored mosaic tile,0.16783103346824646
att_021,attributes,a dusty antique book,0.2948763966560364
att_022,attributes,a brand new sports car,0.28069841861724854
att_023,attributes,a worn leather wallet,0.33217498660087585
att_024,attributes,a pristine white sneakers,0.3199678063392639
att_025,attributes,a faded vintage poster,0.27960219979286194
att_026,attributes,a cracked ceramic pot,0.292641282081604
att_027,attributes,a tarnished brass doorknob,0.33840855956077576
att_028,attributes,a freshly painted fence,0.3308183550834656
att_029,attributes,a weathered wooden bench,0.3297991156578064
att_030,attributes,a sparkling clean window,0.2714919447898865
att_031,attributes,a tiny porcelain figurine,0.33833733201026917
att_032,attributes,a massive oak tree,0.31457602977752686
att_033,attributes,a miniature toy car,0.32941579818725586
att_034,attributes,a large canvas painting,0.2996761202812195
att_035,attributes,a small pocket watch,0.3322911858558655
att_036,attributes,a giant teddy bear,0.2916441559791565
att_037,attributes,a compact digital camera,0.3063943088054657
att_038,attributes,a oversized sunglasses,0.27994948625564575
att_039,attributes,a thin paperback book,0.2650134265422821
att_040,attributes,a thick wool blanket,0.3050880432128906
att_041,attributes,a crystal clear diamond,0.31710004806518555
att_042,attributes,a marble white sculpture,0.31181851029396057
att_043,attributes,a bronze horse statue,0.3304808735847473
att_044,attributes,a ceramic flower pot,0.34538593888282776
att_045,attributes,a plastic water bottle,0.34337806701660156
att_046,attributes,a wooden rocking chair,0.3226885199546814
att_047,attributes,a metal filing cabinet,0.3181222677230835
att_048,attributes,a glass chandelier,0.33957865834236145
att_049,attributes,a rubber duck toy,0.3026120066642761
att_050,attributes,a bamboo cutting board,0.343091756105423
att_051,attributes,a glowing neon sign,0.32082024216651917
att_052,attributes,a dim candlelit room,0.2676219940185547
att_053,attributes,a bright sunny beach,0.26750749349594116
att_054,attributes,a frozen ice sculpture,0.34330177307128906
att_055,attributes,a steaming hot coffee,0.275837779045105
att_056,attributes,a cold glass of lemonade,0.28395020961761475
att_057,attributes,a warm fireplace,0.2860286235809326
att_058,attributes,a cool shaded porch,0.31084656715393066
att_059,attributes,a blazing bonfire,0.28905361890792847
att_060,attributes,a frosty winter window,0.33361107110977173
att_061,attributes,a cheerful yellow sunflower,0.3361034393310547
att_062,attributes,a gloomy gray sky,0.28276950120925903
att_063,attributes,a peaceful zen garden,0.33890610933303833
att_064,attributes,an elegant crystal vase,0.331840842962265
att_065,attributes,a cozy reading nook,0.3458626866340637
att_066,attributes,a dramatic red curtain,0.3189491927623749
att_067,attributes,a serene lake reflection,0.29696887731552124
att_068,attributes,a vibrant market stall,0.3234720230102539
att_069,attributes,a mysterious dark alley,0.32303574681282043
att_070,attributes,a romantic candlelit dinner,0.29534053802490234
att_071,attributes,a small rusty key,0.32917213439941406
att_072,attributes,a large fluffy pillow,0.2739824056625366
att_073,attributes,a old wooden music box,0.33719122409820557
att_074,attributes,a new shiny bicycle,0.28628820180892944
att_075,attributes,a tiny delicate teacup,0.3060760796070099
att_076,attributes,a huge ancient tree,0.2951544523239136
att_077,attributes,a soft warm blanket,0.23825746774673462
att_078,attributes,a hard cold marble floor,0.34175288677215576
att_079,attributes,a light airy curtain,0.326801598072052
att_080,attributes,a heavy ornate chandelier,0.33166050910949707
att_081,attributes,a fuzzy green tennis ball,0.33397066593170166
att_082,attributes,a sleek modern laptop,0.3072865605354309
att_083,attributes,a bumpy orange peel,0.29686474800109863
att_084,attributes,a silky blue ribbon,0.32744646072387695
att_085,attributes,a coarse sand paper,0.32476919889450073
att_086,attributes,a smooth river stone,0.3529071807861328
att_087,attributes,a prickly cactus plant,0.3147549629211426
att_088,attributes,a feathery peacock tail,0.32840293645858765
att_089,attributes,a scaly fish skin,0.3081221580505371
att_090,attributes,a spongy yellow cheese,0.2869507074356079
rel_001,relations,a cat sitting on a sofa,0.2744998335838318
rel_002,relations,a book on a wooden table,0.27838778495788574
rel_003,relations,a lamp next to a bed,0.3095501661300659
rel_004,relations,a cup on a saucer,0.31109583377838135
rel_005,relations,a bird perched on a branch,0.30348578095436096
rel_006,relations,a clock hanging on a wall,0.3503990173339844
rel_007,relations,a dog lying under a tree,0.29962801933288574
rel_008,relations,a vase in front of a window,0.3295864760875702
rel_009,relations,a phone beside a laptop,0.24776151776313782
rel_010,relations,a hat on a person's head,0.27952760457992554
rel_011,relations,a painting above a fireplace,0.3556888997554779
rel_012,relations,a rug under a coffee table,0.1714189350605011
rel_013,relations,a chandelier above a dining table,0.1851631999015808
rel_014,relations,a shelf above a desk,0.16524970531463623
rel_015,relations,a cat under a chair,0.1303233653306961
rel_016,relations,a plane above the clouds,0.10683845728635788
rel_017,relations,a submarine below the water,0.13931423425674438
rel_018,relations,a bird above a lake,0.14432169497013092
rel_019,relations,a treasure under the sand,0.17906248569488525
rel_020,relations,a rainbow above a mountain,0.09714268893003464
rel_021,relations,a ball inside a basket,0.315902441740036
rel_022,relations,a flower in a vase,0.3050212264060974
rel_023,relations,a key on a keychain,0.32660967111587524
rel_024,relations,a fish inside a bowl,0.29833149909973145
rel_025,relations,a bird inside a cage,0.30389517545700073
rel_026,relations,a car inside a garage,0.2887888252735138
rel_027,relations,a person inside a phone booth,0.3158302307128906
rel_028,relations,a letter inside an envelope,0.30467653274536133
rel_029,relations,a coin inside a jar,0.30591633915901184
rel_030,relations,a plant inside a terrarium,0.3136114180088043
rel_031,relations,a pen on a notebook,0.2944513261318207
rel_032,relations,a pillow on a chair,0.2830135226249695
rel_033,relations,a shoe under a bed,0.30503833293914795
rel_034,relations,a bag next to a door,0.3131960928440094
rel_035,relations,a glass on a coaster,0.2713150382041931
rel_036,relations,a watch on a wrist,0.269546777009964
