prompt_id,category,prompt,clip_score,brightness,contrast,edge_density,saturation
obj_001,objects,a red bicycle,0.3190099000930786,97.98,58.41,0.1181,94.98
obj_002,objects,a wooden chair,0.3018827736377716,142.47,76.53,0.0223,39.67
obj_003,objects,a coffee mug,0.3089735209941864,113.03,42.71,0.0104,75.42
obj_004,objects,a laptop computer,0.29675549268722534,130.23,59.16,0.029,67.4
obj_005,objects,a potted plant,0.2986597418785095,129.18,71.22,0.0722,78.17
obj_006,objects,a table lamp,0.3248366117477417,142.2,42.97,0.0208,31.58
obj_007,objects,a wristwatch,0.288635790348053,120.56,78.78,0.1114,67.91
obj_008,objects,a backpack,0.29095637798309326,113.51,62.18,0.0312,81.21
obj_009,objects,a guitar,0.3044455051422119,85.27,82.16,0.2365,128.25
obj_010,objects,a camera,0.26305755972862244,95.39,55.02,0.0763,78.23
obj_011,objects,a pair of scissors,0.3150842487812042,96.18,58.6,0.0252,92.37
obj_012,objects,a pencil,0.3571658432483673,121.54,35.43,0.1636,113.67
obj_013,objects,a book,0.24026405811309814,114.49,76.65,0.1757,128.19
obj_014,objects,a water bottle,0.29132887721061707,101.47,33.62,0.027,59.81
obj_015,objects,a baseball cap,0.29780542850494385,108.34,45.7,0.0299,48.93
obj_016,objects,a soccer ball,0.3025455176830292,120.29,49.26,0.3027,34.69
obj_017,objects,a teddy bear,0.2726036310195923,113.5,87.08,0.0582,124.63
obj_018,objects,an umbrella,0.29682421684265137,107.44,47.5,0.1055,102.07
obj_019,objects,a suitcase,0.283180296421051,109.99,51.32,0.0393,72.9
obj_020,objects,a telephone,0.2668702304363251,127.85,58.32,0.152,40.16
obj_021,objects,a frying pan,0.29529261589050293,110.12,47.4,0.0287,43.81
obj_022,objects,a toaster,0.30369120836257935,112.37,66.72,0.0368,95.52
obj_023,objects,a coffee maker,0.30242782831192017,115.54,72.05,0.0458,61.69
obj_024,objects,a blender,0.32075798511505127,125.31,46.18,0.0432,54.77
obj_025,objects,a cutting board,0.32337498664855957,116.89,46.12,0.1254,146.96
obj_026,objects,a wine glass,0.3054625988006592,133.31,37.85,0.014,44.72
obj_027,objects,a ceramic plate,0.3241555690765381,144.16,61.38,0.2001,45.33
obj_028,objects,a fork and knife,0.2869294285774231,95.99,64.72,0.2418,35.68
obj_029,objects,a tea kettle,0.2992461323738098,99.14,49.53,0.0284,107.25
obj_030,objects,a rolling pin,0.3522303104400635,134.22,29.65,0.0049,32.34
obj_031,objects,a television,0.2769688665866852,130.08,70.83,0.0941,51.67
obj_032,objects,a remote control,0.3167118728160858,109.38,40.51,0.2062,56.34
obj_033,objects,a computer mouse,0.31821852922439575,113.05,56.68,0.0154,79.32
obj_034,objects,a keyboard,0.27161306142807007,126.92,72.33,0.0464,21.0
obj_035,objects,a smartphone,0.24884656071662903,115.38,39.0,0.1122,90.09
obj_036,objects,a tablet,0.27905768156051636,107.64,75.21,0.1747,78.42
obj_037,objects,headphones,0.2720968723297119,114.93,82.44,0.1248,65.35
