prompt_id,category,prompt,brightness,contrast,edge_density,saturation,mean_red,mean_green,mean_blue,width,height
obj_001,objects,a red bicycle,97.98,58.41,0.1181,94.98,121.09,89.03,83.42,512,512
obj_002,objects,a wooden chair,142.47,76.53,0.0223,39.67,149.19,139.72,139.34,512,512
obj_003,objects,a coffee mug,113.03,42.71,0.0104,75.42,130.07,108.51,91.56,512,512
obj_004,objects,a laptop computer,130.23,59.16,0.029,67.4,135.24,129.48,120.99,512,512
obj_005,objects,a potted plant,129.18,71.22,0.0722,78.17,125.68,133.25,117.4,512,512
obj_006,objects,a table lamp,142.2,42.97,0.0208,31.58,149.82,139.81,134.54,512,512
obj_007,objects,a wristwatch,120.56,78.78,0.1114,67.91,130.12,117.66,110.49,512,512
obj_008,objects,a backpack,113.51,62.18,0.0312,81.21,110.91,114.43,115.56,512,512
obj_009,objects,a guitar,85.27,82.16,0.2365,128.25,86.98,87.72,68.06,512,512
obj_010,objects,a camera,95.39,55.02,0.0763,78.23,101.91,93.77,86.63,512,512
obj_011,objects,a pair of scissors,96.18,58.6,0.0252,92.37,117.99,87.75,82.36,512,512
obj_012,objects,a pencil,121.54,35.43,0.1636,113.67,146.32,116.54,82.27,512,512
obj_013,objects,a book,114.49,76.65,0.1757,128.19,124.71,113.63,92.09,512,512
obj_014,objects,a water bottle,101.47,33.62,0.027,59.81,112.57,96.37,98.74,512,512
obj_015,objects,a baseball cap,108.34,45.7,0.0299,48.93,110.75,108.01,103.96,512,512
obj_016,objects,a soccer ball,120.29,49.26,0.3027,34.69,124.33,119.98,111.24,512,512
obj_017,objects,a teddy bear,113.5,87.08,0.0582,124.63,132.92,107.93,91.24,512,512
obj_018,objects,an umbrella,107.44,47.5,0.1055,102.07,121.77,101.54,100.23,512,512
obj_019,objects,a suitcase,109.99,51.32,0.0393,72.9,121.33,106.84,96.43,512,512
obj_020,objects,a telephone,127.85,58.32,0.152,40.16,122.95,128.17,138.93,512,512
obj_021,objects,a frying pan,110.12,47.4,0.0287,43.81,112.29,108.69,111.97,512,512
obj_022,objects,a toaster,112.37,66.72,0.0368,95.52,129.38,107.64,92.11,512,512
obj_023,objects,a coffee maker,115.54,72.05,0.0458,61.69,127.5,112.15,101.67,512,512
obj_024,objects,a blender,125.31,46.18,0.0432,54.77,130.41,124.73,114.92,512,512
obj_025,objects,a cutting board,116.89,46.12,0.1254,146.96,150.76,108.37,71.96,512,512
obj_026,objects,a wine glass,133.31,37.85,0.014,44.72,145.94,128.8,123.56,512,512
obj_027,objects,a ceramic plate,144.16,61.38,0.2001,45.33,136.03,148.1,145.26,512,512
obj_028,objects,a fork and knife,95.99,64.72,0.2418,35.68,102.27,94.46,87.38,512,512
obj_029,objects,a tea kettle,99.14,49.53,0.0284,107.25,116.34,94.6,77.38,512,512
obj_030,objects,a rolling pin,134.22,29.65,0.0049,32.34,140.72,132.96,123.63,512,512
obj_031,objects,a television,130.08,70.83,0.0941,51.67,130.48,130.9,124.76,512,512
obj_032,objects,a remote control,109.38,40.51,0.2062,56.34,122.14,105.77,94.71,512,512
obj_033,objects,a computer mouse,113.05,56.68,0.0154,79.32,131.4,107.21,94.82,512,512
obj_034,objects,a keyboard,126.92,72.33,0.0464,21.0,127.95,126.26,127.57,512,512
obj_035,objects,a smartphone,115.38,39.0,0.1122,90.09,110.97,118.68,109.92,512,512
obj_036,objects,a tablet,107.64,75.21,0.1747,78.42,112.84,103.52,115.15,512,512
obj_037,objects,headphones,114.93,82.44,0.1248,65.35,124.8,111.26,107.87,512,512
obj_038,objects,a speaker,132.48,61.38,0.0189,14.59,133.76,132.24,130.73,512,512
obj_039,objects,a video game controller,95.43,54.67,0.0319,89.41,113.11,88.68,83.88,512,512
obj_040,objects,a USB cable,135.32,33.43,0.013,8.98,135.58,134.84,137.35,512,512
obj_041,objects,a sofa,111.54,70.57,0.103,101.74,124.79,109.58,86.83,512,512
obj_042,objects,a bookshelf,124.53,64.11,0.0726,71.24,136.82,120.83,111.33,512,512
obj_043,objects,a desk,100.43,38.56,0.0329,50.25,106.31,98.41,95.36,512,512
obj_044,objects,a bed frame,119.77,72.97,0.0908,41.39,127.43,117.17,113.1,512,512
obj_045,objects,a coffee table,125.17,67.33,0.0675,88.78,127.81,124.44,122.01,512,512
obj_046,objects,a dining table,106.32,46.43,0.0172,99.01,123.44,102.38,81.7,512,512
obj_047,objects,a wardrobe,116.93,69.7,0.0445,80.91,131.2,111.62,106.88,512,512
obj_048,objects,a mirror,113.35,76.84,0.0684,55.21,117.76,112.52,106.16,512,512
obj_049,objects,a rug,79.71,48.33,0.2753,91.4,93.08,75.2,67.88,512,512
obj_050,objects,a curtain,110.21,65.33,0.1019,43.53,113.77,109.27,105.72,512,512
obj_051,objects,a bicycle helmet,103.69,76.91,0.1034,113.26,119.9,96.67,97.34,512,512
obj_052,objects,a tennis racket,97.8,40.66,0.0649,26.47,99.18,97.9,93.73,512,512
obj_053,objects,a skateboard,126.49,70.52,0.0367,86.21,138.88,123.85,107.63,512,512
obj_054,objects,a surfboard,111.43,53.0,0.0128,75.57,121.77,109.88,92.31,512,512
obj_055,objects,a camping tent,118.02,68.38,0.199,92.17,119.31,122.16,93.31,512,512
obj_056,objects,a fishing rod,104.07,49.13,0.088,54.14,111.51,102.19,94.22,512,512
obj_057,objects,a garden hose,103.74,65.9,0.209,133.39,104.0,109.52,73.24,512,512
obj_058,objects,a wheelbarrow,113.71,63.71,0.2423,137.75,112.99,117.69,95.11,512,512
obj_059,objects,a lawn mower,140.69,70.26,0.2156,88.71,142.61,143.94,118.9,512,512
obj_060,objects,a bird feeder,114.55,64.87,0.0841,78.31,120.53,114.76,97.81,512,512
obj_061,objects,a leather belt,123.58,49.4,0.0253,73.15,141.7,117.0,109.97,512,512
